,License,Software,Description,Name,Type,Software - #,Contact
1080,"Free, GPL 3",,Extended Randomized Numerical alignEr for accurate alignment of NGS reads. It can map bisulfite-treated reads.,ERNE,,,
1081,CeCILL version 2 License.,,Finds global alignments of short DNA sequences against large DNA banks,GASSST,,,
1082,"Free, GPL3",,"High-quality alignment engine (exhaustive mapping with substitutions and indels). More accurate and several times faster than BWA or Bowtie 1/2. Many standalone biological applications (mapper, split mapper, mappability, and other) provided.",GEM,,,
1083,"Proprietary, commercial",,Ultra fast and comprehensive NGS read aligner with high precision and small storage footprint.,Genalice MAP,,,
1084,"Proprietary, commercial",,"Fast, accurate overlap assembler with the ability to handle any combination of sequencing technology, read length, any pairing orientations, with any spacer size for the pairing, with or without a reference genome.",Geneious Assembler,,,
1085,"Proprietary, commercial",,"Complete framework with user-friendly GUI to analyse NGS data. It integrates a proprietary high quality alignment algorithm and plug-in ability to integrate various public aligner into a framework allowing to import short reads, align them, detect variants, and generate reports. It is made for resequencing projects, namely in a diagnostic setting.",GensearchNGS,,,
1086,"Proprietary, freeware for academic and noncommercial use",,"Robust, fast short-read alignment. GMAP: longer reads, with multiple indels and splices (see entry above under Genomics analysis); GSNAP: shorter reads, with one indel or up to two splices per read. Useful for digital gene expression, SNP and indel genotyping. Developed by Thomas Wu at Genentech. Used by the National Center for Genome Resources (NCGR) in Alpheus.",GMAP and GSNAP,,,
1087,,,"Accurately performs gapped alignment of sequence data obtained from next-generation sequencing machines (specifically of Solexa-Illumina) back to a genome of any size. Includes adaptor trimming, SNP calling and Bisulfite sequence analysis.",GNUMAP,,,
1088,"Proprietary, freeware for academic and noncommercial users registered to HIVE deployment instance",,"Uses a hash table and bloom matrix to create and filter potential positions on the genome. For higher efficiency uses cross-similarity between short reads and avoids realigning non unique redundant sequences. It is faster than Bowtie and BWA and allows indels and divergent sensitive alignments on viruses, bacteria, and more conservative eukaryotic alignments.",HIVE-hexagon,,,
1089,Free,,Improved Meta-aligner and Minimap2 On Spark. A long read distributed aligner on Apache Spark platform with linear scalability w.r.t. single node execution.,IMOS,,,
1090,"Free, GPL",,"Fully uses all the computing power available on one server node; thus, it scales well over a broad range of hardware architectures, and alignment performance improves with hardware abilities",Isaac,,,
1091,"Free, GPL",,"Uses adaptative seeds and copes more efficiently with repeat-rich sequences (e.g. genomes). For example: it can align reads to genomes without repeat-masking, without becoming overwhelmed by repetitive hits.",LAST,,,
1092,"Free, GPL",,Ungapped alignment that takes into account quality scores for each base.,MAQ,,,
1093,"Free, BSD",,Gapped (mrFAST) and ungapped (mrsFAST) alignment software that implements cache obliviousness to minimize main/cache memory transfers. They are designed for the Illumina sequencing platform and they can return all possible map locations for improved structural variation discovery.,"mrFAST, mrsFAST",,,
1094,,,MOM or maximum oligonucleotide mapping is a query matching tool that captures a maximal length match within the short read.,MOM,,,
1095,,,Fast gapped aligner and reference-guided assembler. Aligns reads using a banded Smith-Waterman algorithm seeded by results from a k-mer hashing scheme. Supports reads ranging in size from very short to very long.,MOSAIK,,,
1096,,,"Fast aligner based on a filtration strategy (no indexing, use q-grams and Backward Nondeterministic DAWG Matching)",MPscan,,,
1097,"Proprietary, freeware single threaded version for academic and noncommercial use",,"Gapped alignment of single end and paired end Illumina GA I & II, ABI Colour space & ION Torrent reads. High sensitivity and specificity, using base qualities at all steps in the alignment. Includes adapter trimming, base quality calibration, Bi-Seq alignment, and options for reporting multiple alignments per read. Use of ambiguous IUPAC codes in reference for common SNPs can improve SNP recall and remove allelic bias.",Novoalign & NovoalignCS,,,
1098,"Proprietary, commercial",,"Developed for use by biologists performing analysis of next generation sequencing data from Roche Genome Sequencer FLX, Illumina GA/HiSeq, Life Technologies Applied BioSystems’ SOLiD System, PacBio and Ion Torrent platforms.",NextGENe,,,
1099,Free,,"Flexible and fast read mapping program (twice as fast as BWA), achieves a mapping sensitivity comparable to Stampy. Internally uses a memory efficient index structure (hash table) to store positions of all 13-mers present in the reference genome. Mapping regions where pairwise alignments are required are dynamically determined for each read. Uses fast SIMD instructions (SSE) to accelerate alignment calculations on CPU. If available, alignments are computed on GPU (using OpenCL/CUDA) further reducing runtime 20-50%.",NextGenMap,,,
1100,"Proprietary, commercial",,"Includes highly sensitive and highly accurate tools for detecting SNPs and indels. It offers a solution to map NGS short reads with a moderate distance (up to 30% sequence divergence) from reference genomes. It poses no restrictions on the size of the reference, which, combined with its high sensitivity, makes the Variant Toolkit well-suited for targeted sequencing projects and diagnostics.",Omixon Variant Toolkit,,,
1101,"Free, GPL",,"Efficiently computes both spliced and unspliced alignments at high accuracy. Relying on a machine learning strategy combined with a fast mapping based on a banded Smith-Waterman-like algorithm, it aligns around 7 million reads per hour on one CPU. It refines the originally proposed QPALMA approach.",PALMapper,,,
1102,"Proprietary, commercial, free trial version",,"For use by biologists and bioinformaticians. It supports ungapped, gapped and splice-junction alignment from single and paired-end reads from Illumina, Life technologies Solid TM, Roche 454 and Ion Torrent raw data (with or without quality information). It integrates powerful quality control on FASTQ/Qual level and on aligned data. Additional functionality include trimming and filtering of raw reads, SNP and InDel detection, mRNA and microRNA quantification and fusion gene detection.",Partek Flow,,,
1103,"Proprietary, freeware for academic and noncommercial use",,"Indexes the genome, then extends seeds using pre-computed alignments of words. Works with base space, color space (SOLID), and can align genomic and spliced RNA-seq reads.",PASS,,,
1104,"Free, GPL",,"Indexes the genome with periodic seeds to quickly find alignments with full sensitivity up to four mismatches. It can map Illumina and SOLiD reads. Unlike most mapping programs, speed increases for longer read lengths.",PerM,,,
1105,,,Indexes the genome with a k-mer lookup table with full sensitivity up to an adjustable number of mismatches. It is best for mapping 15-60 bp sequences to a genome.,PRIMEX,,,
1106,"Free, GPL 2",,"Can use quality scores, intron lengths, and computation splice site predictions to perform and performs an unbiased alignment. Can be trained to the specifics of a RNA-seq experiment and genome. Useful for splice site/intron discovery and for gene model building. (See PALMapper for a faster version).",QPalma,,,
1107,"Free, LGPL",,No read length limit. Hamming or edit distance mapping with configurable error rates. Configurable and predictable sensitivity (runtime/sensitivity tradeoff). Supports paired-end read mapping.,RazerS,,,
1108,"Free, GPL",,"REAL is an efficient, accurate, and sensitive tool for aligning short reads obtained from next-generation sequencing. The programme can handle an enormous amount of single-end reads generated by the next-generation Illumina/Solexa Genome Analyzer. cREAL is a simple extension of REAL for aligning short reads obtained from next-generation sequencing to a genome with circular structure.","REAL, cREAL",,,
1109,"Free, GPL 3",,Can map reads with or without error probability information (quality scores) and supports paired-end reads or bisulfite-treated read mapping. There are no limitations on read length or number of mismatches.,RMAP,,,
1110,"Free, GPL 3",,A randomized Numerical Aligner for Accurate alignment of NGS reads,rNA,,,
1111,"Proprietary, freeware for individual investigator use",,"Extremely fast, tolerant to high indel and substitution counts. Includes full read alignment. Product includes comprehensive pipelines for variant detection and metagenomic analysis with any combination of Illumina, Complete Genomics and Roche 454 data.",RTG Investigator,,,
1112,"Proprietary, freeware for noncommercial use",,"Can handle insertions, deletions, mismatches; uses enhanced suffix arrays",Segemehl,,,
1113,"Proprietary, freeware for academic and noncommercial use",,Up to 5 mixed substitutions and insertions-deletions; various tuning options and input-output formats,SeqMap,,,
1114,,,Short read error correction with a suffix tree data structure,Shrec,,,
1115,"Free, [[BSD licenses| style=""background: #ddfd; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|Free, BSD]] derivative",,Indexes the reference genome as of version 2. Uses masks to generate possible keys. Can map ABI SOLiD color space reads.,SHRiMP,,,
1116,,,"Slider is an application for the Illumina Sequence Analyzer output that uses the ""probability"" files instead of the sequence files as an input for alignment to a reference sequence or a set of reference sequences.",SLIDER,,,
1117,"Free, GPL",,"SOAP: robust with a small (1-3) number of gaps and mismatches. Speed improvement over BLAT, uses a 12 letter hash table. SOAP2: using bidirectional BWT to build the index of reference, and it is much faster than the first version. SOAP3: GPU-accelerated version that could find all 4-mismatch alignments in tens of seconds per one million reads. SOAP3-dp, also GPU accelerated, supports arbitrary number of mismatches and gaps according to affine gap penalty scores.","SOAP, SOAP2, SOAP3, SOAP3-dp",,,
1118,"Free, GPL",,For ABI SOLiD technologies. Significant increase in time to map reads with mismatches (or color errors). Uses an iterative version of the Rabin-Karp string search algorithm.,SOCS,,,
1119,"Free, GPL 3",,"Integrates the Burrows-Wheeler Aligner—BWA on an Apache Spark framework running atop Hadoop. Version 0.2 of October 2016, supports the algorithms BWA-MEM, BWA-backtrack, and BWA-ALN. All of them work with single-reads and paired-end reads.",SparkBWA,,,
1120,"Proprietary, freeware for academic and noncommercial use",,Fast for a small number of variants,"SSAHA, SSAHA2",,,
1121,"Proprietary, freeware for academic and noncommercial use",,"For Illumina reads. High specificity, and sensitive for reads with indels, structural variants, or many SNPs. Slow, but speed increased dramatically by using BWA for first alignment pass.",Stampy,,,
1122,Free,,"For Illumina or ABI SOLiD reads, with SAM native output. Highly sensitive for reads with many errors, indels (full from 0 to 15, extended support otherwise). Uses spaced seeds (single hit) and a very fast SSE-SSE2-AVX2-AVX-512 banded alignment filter. For fixed-length reads only, authors recommend SHRiMP2 otherwise.",SToRM,,,
1123,"Free, GPL 3",,Superfast and accurate read aligners. Subread can be used to map both gDNA-seq and RNA-seq reads. Subjunc detects exon-exon junctions and maps RNA-seq reads. They employ a novel mapping paradigm named seed-and-vote.,"Subread, Subjunc",,,
1124,"Proprietary, freeware for academic and noncommercial use",,De-novo assembler for Illumina reads,Taipan,,,
1125,"Free, GPL",,"Visual interface both for Bowtie and BWA, and an embedded aligner",UGENE,,,
1126,"Proprietary, commercial",,FPGA-accelerated reference sequence alignment mapping tool from TimeLogic. Faster than Burrows-Wheeler transform-based algorithms like BWA and Bowtie. Supports up to 7 mismatches and/or indels with no performance penalty. Produces sensitive Smith-Waterman gapped alignments.,VelociMapper,,,
1127,"Proprietary, freeware for academic and noncommercial use",,"FPGA based sliding window short read aligner which exploits the embarrassingly parallel property of short read alignment. Performance scales linearly with number of transistors on a chip (i.e. performance guaranteed to double with each iteration of Moore's Law without modification to algorithm). Low power consumption is useful for datacentre equipment. Predictable runtime. Better price/performance than software sliding window aligners on current hardware, but not better than software BWT-based aligners currently. Can manage large numbers (>2) of mismatches. Will find all hit positions for all seeds. Single-FPGA experimental version, needs work to develop it into a multi-FPGA production version.",XpressAlign,,,
1128,"Proprietary, commercial",,"100% sensitivity for a reads between 15-240 bp with practical mismatches. Very fast. Support insertions and deletions. Works with Illumina & SOLiD instruments, not 454.",ZOOM,,,
1129,,,,,,,
1130,,,,,,,
1131,,,,,,,
1132,,,,,,,
1133,,,,,,,
1134,,,,,,,
1135,,,,,,,
1136,,,,,,,
1137,,,,,,,
1138,,,,,,,
1139,,,,,,,
1140,,,,,,,
1141,,,,,,,
1142,,,,,,,
1143,,,,,,,
1144,,,,,,,
1145,,,,,,,
1146,,,,,,,
1147,,,,,,,
1148,,,,,,,
1149,,,,,,,
1150,,,,,,,
1151,,,,,,,
1152,,,,,,,
1153,,,,,,,
1154,,,,,,,
1155,,,,,,,
1156,,,,,,,
1157,,,,,,,
1158,,,,,,,
1159,,,,,,,
1160,,,,,,,
1161,,,,,,,
1162,,,,,,,
1163,,,,,,,
1164,,,,,,,
1165,,,,,,,
1166,,,,,,,
1167,,,,,,,
1168,,,,,,,
1169,,,,,,,
1170,,,,,,,
1171,,,,,,,
1172,,,,,,,
1173,,,,,,,
1174,,,,,,,
1175,,,,,,,
1176,,,,,,,
1177,,,,,,,
1178,,,,,,,
1179,,,,,,,
1180,,,,,,,
1181,,,,,,,
1182,,,,,,,
1183,,,,,,,
1184,,,,,,,
1185,,,,,,,
1186,,,,,,,
1187,,,,,,,
1188,,,,,,,
1189,,,,,,,
1190,,,,,,,
1191,,,,,,,
1192,,,,,,,
1193,,,,,,,
1194,,,,,,,
1195,,,,,,,
1196,,,,,,,
1197,,,,,,,
1198,,,,,,,
1199,,,,,,,
1200,,,,,,,
1201,,,,,,,
1202,,,,,,,
1203,,,,,,,
1204,,,,,,,
1205,,,,,,,
1206,,,,,,,
1207,,,,,,,
1208,,,,,,,
1209,,,,,,,
1210,,,,,,,
1211,,,,,,,
1212,,,,,,,
1213,,,,,,,
1214,,,,,,,
1215,,,,,,,
1216,,,,,,,
1217,,,,,,,
1218,,,,,,,
1219,,,,,,,
1220,,,,,,,
1221,,,,,,,
1222,,,,,,,
1223,,,,,,,
1224,,,,,,,
1225,,,,,,,
1226,,,,,,,
1227,,,,,,,
1228,,,,,,,
1229,,,,,,,
1230,,,,,,,
1231,,,,,,,
1232,,,,,,,
1233,,,,,,,
1234,,,,,,,
1235,,,,,,,
1236,,,,,,,
1237,,,,,,,
1238,,,,,,,
1239,,,,,,,
1240,,,,,,,
1241,,,,,,,
1242,,,,,,,
1243,,,,,,,
1244,,,,,,,
1245,,,,,,,
1246,,,,,,,
1247,,,,,,,
1248,,,,,,,
1249,,,,,,,
1250,,,,,,,
1251,,,,,,,
1252,,,,,,,
1253,,,,,,,
1254,,,,,,,
1255,,,,,,,
1256,,,,,,,
1257,GNU GPL,,,Cacti,,,
1258,GNU GPL,,,Checkmk,,,
1259,GNU GPL,,,collectd,,,
1260,GNU GPL,,,FreeNATS,,,
1261,BSD,,,Ganglia,,,
1262,GNU GPL,,,Icinga,,,
1263,"Limited free, Commercial",,,InterMapper,,,
1264,"Limited free, Commercial",,,isyVmon,,,
1265,GNU GPL,,,Munin,,,
1266,GNU GPL,,,Nagios,,,
1267,"GPL3, Commercial",,,NeDi,,,
1268,BSD,,,Netdisco,,,
1269,GNU GPL,,,NetXMS,,,
1270,Commercial,,,NeuralStar,,,
1271,GNU GPL,,,Octopussy,,,
1272,"Limited free, Commercial",,,op5 Monitor,,,
1273,Commercial,,,OpenKBM,,,
1274,AGPLv3,,,OpenNMS,,,
1275,Commercial,,,Openview,,,
1276,Commercial,,,OPNET's AppResponse Xpert,,,
1277,Commercial,,,OSI NetExpert,,,
1278,Commercial,,,PacketTrap,,,
1279,"GPLv2, Commercial",,,Pandora FMS,,,
1280,"GPL, LGPL",,,Performance Co-Pilot,,,
1281,"Limited free, Commercial",,,PRTG,,,
1282,Commercial,,,ScienceLogic,,,
1283,Commercial,,,SevOne,,,
1284,AGPL,,,Shinken,,,
1285,Commercial,,,SolarWinds,,,
1286,Un­known,,,Spiceworks,,,
1287,"Commercial, per Device",,,CA Spectrum,,,
1288,GNU GPL,,,Xymon/Hobbit,,,
1289,"Free (GPLv2) OSS edition, Commercial NOC/NMS editions",,,Vigilo NMS,,,
1290,GNU GPL,,,Zabbix,,,
1291,"Free Core GPL, Commercial Enterprise",,,Zenoss Core,,,
1292,Commercial,,,ZIS-System,,,
1293,License,,,Name,,,
1294,,,,,,,
1295,,,,,,,
1296,,,,,,,
1297,,,,,,,
1298,,,,,,,
1299,,,,,,,
1300,,,,,,,
1301,,,,,,,
1302,,,,,,,
1303,,,,,,,
1304,,,,,,,
1305,,,,,,,
1306,,,,,,,
1307,,,,,,,
1308,,,,,,,
1309,,,,,,,
1310,Apache License v2.0,,,,,,
1311,Proprietary,,,,,,
1312,Proprietary,,,,,,
1313,Proprietary,,,,,,
1314,Proprietary,,,,,,
1315,Proprietary,,,,,,
1316,Proprietary,,,,,,
1317,LGPL,,,,,,
1318,Open Source and Proprietary Licenses,,,,,,
1319,Proprietary,,,,,,
1320,Proprietary,,,,,,
1321,LGPL,,,,,,
1322,Proprietary,,,,,,
1323,LGPL and Proprietary Licenses,,,,,,
1324,GPL and Proprietary Licenses,,,,,,
1325,BSD,,,,,,
1326,Proprietary,,,,,,
1327,Proprietary,,,,,,
1328,Proprietary,,,,,,
1329,Proprietary,,,,,,
1330,Proprietary,,,,,,
1331,Proprietary,,,,,,
1332,Proprietary,,,,,,
1333,Proprietary,,,,,,
1334,Proprietary,,,,,,
1335,Proprietary,,,,,,
1336,Proprietary,,,,,,
1337,"Open Source, licensing & support plans",,,,,,
1338,"Open Source, licensing & support plans",,,,,,
1339,Proprietary,,,,,,
1340,Proprietary,,,,,,
1341,Apache License v2.0,,,,,,
1342,,,Integrated ERP built on Adempiere/iDempiere,Adaxa Suite,,,
1343,,,Began as a fork of Compiere,Adempiere,,,
1344,,,Business solutions and applications framework from the Apache Software Foundation,Apache OFBiz,,,
1345,,,Acquired by Consona Corporation in June 2010,Compiere,,,
1346,,,Web application (LAMP-based system) to manage small and medium entities,Dolibarr,,,
1347,,,A framework for building ERP/CRM applications,Epesi,,,
1348,,,Based on unified model for mid to large size organisations,ERP5,,,
1349,,,ERP for small and medium-sized businesses,ERPNext,,,
1350,,,ERP for small and medium-size businesses (initial focus has been electronic manufacturing),HeliumV,,,
1351,,,OSGI + Adempiere,iDempiere,,,
1352,,,Open source web based enterprise management system.,inoERP,,,
1353,,,Open source web based enterprise management system.,intarS,,,
1354,,,ERP for higher education institutions,Kuali,,,
1355,,,Double entry accounting and ERP system (2006 fork of SQL-Ledger),LedgerSMB,,,
1356,,,"Integrated ERP, began as a friendly fork of ADempiere",metasfresh,,,
1357,,,Renamed from OpenERP,Odoo,,,
1358,,,CRM based on Microsoft Stack (Microsoft IIS and Microsoft SQL Server),SplendidCRM,,,
1359,,,Double entry accounting and ERP system,SQL-Ledger,,,
1360,,,Open source and free platform for creating business web applications,WebVella,,,
1361,,,"Originally forked from TinyERP, cleaned-up code base with continuous update/migration path",Tryton,,,
1362,,,,,,,
1363,,,,,,,
1364,,,,,,,
1365,,,,,,,
1366,,,,,,,
1367,,,,,Program,7-Zip,
1368,,,,,Type,Software - A,Contact
1369,,,,,Game,Abuse,Bungie Software
1370,,,,,Game,Aces of the Deep,Sierra
1371,,,,,Game,Aces Over Europe,Sierra
1372,,,,,Game,Aces of the Pacific,Sierra
1373,,,,,Program,Adobe After Effects,Adobe
1374,,,,,Program,Adobe Audition,Adobe
1375,,,,,Program,Adobe Bridge,Adobe
1376,,,,,Program,Adobe Creative Cloud,Adobe
1377,,,,,Program,Adobe Dreamweaver,Adobe
1378,,,,,Program,Adobe Illustrator,Adobe
1379,,,,,Program,Adobe InDesign,Adobe
1380,,,,,Program,Adobe Lightroom,Adobe
1381,,,,,Program,Adobe Photoshop,Adobe
1382,,,,,Program,Adobe Photoshop Elements,Adobe
1383,,,,,Program,Adobe Premiere Pro,Adobe
1384,,,,,Program,Adobe Premiere Rush,Adobe
1385,,,,,Utility,After Dark,Sierra
1386,,,,,Game,After Life,Lucas Arts
1387,,,,,Game,Age of Empires,Microsoft
1388,,,,,Game,Alice,Electronic Arts
1389,,,,,Game,Amazon,Access
1390,,,,,Browser,Amazon Silk,Amazon
1391,,,,,Utility,AnyDesk,AnyDesk
1392,,,,,Online Service,AOL,AOL
1393,,,,,Type,Software - B,Contact
1394,,,,,Game,Battle Chess,Interplay
1395,,,,,Game,Black and White,Electronic Arts
1396,,,,,Game,Blackstone Chronicles,Mindscape
1397,,,,,Game,Blake Stone,Apogee
1398,,,,,Game,Blood,GT Interactive
1399,,,,,Game,Brood War,Blizzard
1400,,,,,Type,Software - C,Contact
1401,,,,,Game,Caesar 3,Sierra
1402,,,,,Game,Chess Master,Mindscape
1403,,,,,Game,Civilization 2,Microprose
1404,,,,,Game,Close Combat,Microsoft
1405,,,,,Game,Command & Conquer,Westwood
1406,,,,,Game,Command & Conquer Red Alert,Westwood
1407,,,,,Program,Comm Central,Packard Bell
1408,,,,,Program,CorelDRAW,Corel
1409,,,,,Utility,CrystalMark,Hiyohiyo
1410,,,,,Program,Cubase,Steinberg
1411,,,,,Type,Software - D,Contact
1412,,,,,Game,Dark Earth,Microprose
1413,,,,,Utility,Defrag,Microsoft
1414,,,,,Game,Descent,Interplay
1415,,,,,Game,Descent II,Interplay
1416,,,,,Game,Diablo,Blizzard
1417,,,,,Game,Diablo Hell Fire,Sierra
1418,,,,,Game,Diablo 2,Blizzard
1419,,,,,Utility,Directx,Microsoft
1420,,,,,Operating system,Dos,Microsoft
1421,,,,,Game,Doom,GT Interactive
1422,,,,,Game,Doom 2,GT Interactive
1423,,,,,Utility,Dr. Watson,Microsoft
1424,,,,,Utility,Drive Image,Power Quest
1425,,,,,Game,Duke 3D,GT Interactive
1426,,,,,Game,Dune,Virgin
1427,,,,,Game,Dungeon Keeper,Electronic Arts
1428,,,,,Type,Software - E,Contact
1429,,,,,Game,Earth Worm Jim,Activision
1430,,,,,Game,Epic Pinball,Epic
1431,,,,,Program,Excel,Microsoft
1432,,,,,Program,Expression Web,Microsoft
1433,,,,,Type,Software - F,Contact
1434,,,,,Game,F-117A,Microprose
1435,,,,,Game,Fallout,Interplay
1436,,,,,Game,Fallout 2,Interplay
1437,,,,,None,Fat32,Microsoft
1438,,,,,Game,FIFA 2000,Electronic Arts
1439,,,,,Game,FIFA 99,Electronic Arts
1440,,,,,Game,FIFA 97,Electronic Arts
1441,,,,,Game,FIFA 96,Electronic Arts
1442,,,,,Game,Final Doom,GT Interactive
1443,,,,,Program,FileZilla,
1444,,,,,Browser,Firefox,Mozilla
1445,,,,,Utility,First Aid,Mcafee
1446,,,,,Game,Floor 13,Virgin
1447,,,,,Program,FL Studio,Image Line Software
1448,,,,,Game,Fortnite,Epic Games
1449,,,,,Program,FrontPage,Microsoft
1450,,,,,Program,FTP,Various
1451,,,,,Game,Full Throttle,Lucas Arts
1452,,,,,Type,Software - G,Contact
1453,,,,,Game,Gabriel Knight 3,Sierra
1454,,,,,Program,GameMaker Studio,YoYo Games
1455,,,,,Program,GarageBand,Apple
1456,,,,,Program,GlassWire,GlassWire
1457,,,,,Game,Gobliiins,Sierra
1458,,,,,Game,Gobliins 2,Sierra
1459,,,,,Game,Goblins Quest 3,Sierra
1460,,,,,Browser,Google Chrome,Google
1461,,,,,Cloud,Google Docs,Google
1462,,,,,Cloud,Google Sheets,Google
1463,,,,,Cloud,Google Slides,Google
1464,,,,,Type,Software - H,Contact
1465,,,,,Game,Hand of Fate,Westwood
1466,,,,,Game,Half-Life,Sierra
1467,,,,,Game,Half-Life Opposing Force,Sierra
1468,,,,,Game,Hell Fire,Sierra
1469,,,,,Game,Heretic,Id Software
1470,,,,,Game,Heretic 2,Id Software
1471,,,,,Game,Hexen 2,Activision
1472,,,,,Program,Hitfilm,FXhome
1473,,,,,Program,Hyper Terminal,Microsoft
1474,,,,,Type,Software - I,Contact
1475,,,,,Game,Icewind Dale,Interplay
1476,,,,,Program,ICQ,AOL
1477,,,,,Program,ImageShack,
1478,,,,,Browser,Internet Explorer,Microsoft
1479,,,,,Program,IrfanView,Irfan Skiljan
1480,,,,,Program,iTunes,Apple
1481,,,,,Program,iWork,Apple
1482,,,,,Type,Software - J,Contact
1483,,,,,Program,Jami,Savoir-Faire Linux
1484,,,,,Game,Jedi Knight,LucasArts
1485,,,,,Program,Jira,Atlassian
1486,,,,,Type,Software - K,Contact
1487,,,,,Program,KiCad,KiCad Developers Team
1488,,,,,Game,Kings Quest 1,Sierra
1489,,,,,Game,Kings Quest 2,Sierra
1490,,,,,Game,Kings Quest 3,Sierra
1491,,,,,Game,Kings Quest 4,Sierra
1492,,,,,Game,Kings Quest 5,Sierra
1493,,,,,Game,Kings Quest 6,Sierra
1494,,,,,Game,Kings Quest 7,Sierra
1495,,,,,Game,Kings Quest 8,Sierra
1496,,,,,Game,Kings Quest Collection,Sierra
1497,,,,,Program,Krita,KDE community
1498,,,,,Game,Kyrandia,Westwood
1499,,,,,Type,Software - L,Contact
1500,,,,,Game,Lands of Lore Guardians of Destiny,Westwood
1501,,,,,Game,Legacy,Microprose
1502,,,,,Program,LibreOffice,The Document Foundation
1503,,,,,Operating system,Linux,Various
1504,,,,,Game,Lords of Magic,Sierra
1505,,,,,Program,Lotus Symphony,IBM
1506,,,,,Type,Software - M,Contact
1507,,,,,Operating system,macOS,Apple
1508,,,,,Game,Madden NFL 98,Electronic Arts
1509,,,,,Game,Madden NFL 99,Electronic Arts
1510,,,,,Game,Madden NFL 2000,Electronic Arts
1511,,,,,Game,Magic Carpet,Bullfrog
1512,,,,,Utility,Malwarebytes,Malwarebytes Inc.
1513,,,,,Browser,Maxthon,"Maxthon, Ltd."
1514,,,,,Utility,McAfee Virus Scan,Network Associates
1515,,,,,Game,MDK,Interplay
1516,,,,,Game,MDK 2,Interplay
1517,,,,,Game,Mech Warrior 2,Activision
1518,,,,,Utility,Microsoft Backup,Microsoft
1519,,,,,Game,Microsoft Combat Flight Simulator,Microsoft
1520,,,,,Utility,Microsoft Defrag,Microsoft
1521,,,,,Game,Microsoft Deadly Tides,Microsoft
1522,,,,,Program,Microsoft Excel,Microsoft
1523,,,,,Program,Microsoft Expression Web,Microsoft
1524,,,,,Game,Microsoft Flight Simulator,Microsoft
1525,,,,,Game,Microsoft Fury 3,Microsoft
1526,,,,,Program,Microsoft Office,Microsoft
1527,,,,,Program,Microsoft OneNote,Microsoft
1528,,,,,Program,Microsoft Outlook,Microsoft
1529,,,,,Utility,Microsoft Paint,Microsoft
1530,,,,,Utility,Microsoft Plus!,Microsoft
1531,,,,,Program,Microsoft PowerPoint,Microsoft
1532,,,,,Utility,Microsoft Scandisk,Microsoft
1533,,,,,Program,Microsoft Teams,Microsoft
1534,,,,,Audio,Microsoft Windows Media Player,Microsoft
1535,,,,,Program,Microsoft Word,Microsoft
1536,,,,,Game,Mine Sweeper,Microsoft
1537,,,,,Operating system,MS-DOS,Microsoft
1538,,,,,Game,Myst,Broderbund
1539,,,,,Type,Software - N,Contact
1540,,,,,Game,Nascar 4,Sierra
1541,,,,,Utility,Navigator,Packard Bell
1542,,,,,Game,NBA Live,Electronic Arts
1543,,,,,Game,Need 4 Speed,Electronic Arts
1544,,,,,Browser,Netscape,AOL
1545,,,,,Program,Nextcloud,"Nextcloud GmbH, Community"
1546,,,,,Game,NHL,Electronic Arts
1547,,,,,Game,Nocturne,God games
1548,,,,,Utility,Norton AntiVirus,Symantec
1549,,,,,Utility,Norton Ghost,Symantec
1550,,,,,Program,Notepad,Microsoft
1551,,,,,Program,Notepad++,
1552,,,,,Type,Software - O,Contact
1553,,,,,Game,Obsidian,SegaSoft
1554,,,,,Utility,One Step Backup,Iomega
1555,,,,,Program,OpenOffice,Apache
1556,,,,,Browser,Opera,Opera Software
1557,,,,,Game,Opposing Force,Sierra
1558,,,,,Program,Outlook,Microsoft
1559,,,,,Program,OwnCloud,"ownCloud GmbH, Community"
1560,,,,,Type,Software - P,Contact
1561,,,,,Program,PaintTool SAI,SYSTEMAX
1562,,,,,Utility,Partition Magic,Power Quest
1563,,,,,Game,PGA Tour Golf,Electronic Arts
1564,,,,,Program,PicPick,NGWIN
1565,,,,,Utility,PKUNZIP,PKWARE
1566,,,,,Utility,PKZIP,PKWARE
1567,,,,,Program,Plus!,Microsoft
1568,,,,,Game,Police Quest 1,Sierra
1569,,,,,Game,Police Quest 2,Sierra
1570,,,,,Game,Police Quest 3,Sierra
1571,,,,,Game,Police Quest 4,Sierra
1572,,,,,Game,Police Quest 5,Sierra
1573,,,,,Game,Police Quest SWAT 2,Sierra
1574,,,,,Program,Pro Tools,Avid
1575,,,,,Game,Putt-Putt Saves the Zoo,GT Interactive
1576,,,,,Type,Software - Q,Contact
1577,,,,,Program,Qmodem Pro,Mustang
1578,,,,,Game,Quake,IdSoftware
1579,,,,,Game,Quake 2,Activision
1580,,,,,Game,Quake 3,IdSoftware
1581,,,,,Game,Quake 3: Team Arena,IdSoftware
1582,,,,,Type,Software - R,Contact
1583,,,,,Game,Re-Volt,Acclaim
1584,,,,,Program,Real Player,Real
1585,,,,,Game,Red Alert,Westwood
1586,,,,,Game,Return to Zork,Activision
1587,,,,,Game,Riven,Red Orb
1588,,,,,Game,Roller Coaster Tycoon,Microprose
1589,,,,,Game,Rune,God games
1590,,,,,Type,Software - S,Contact
1591,,,,,Game,Sacrifice,Interplay
1592,,,,,Browser,Safari,Apple
1593,,,,,Game,Sanitarium,ASC Games
